id,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,team_member_id
0OciMaLysuUapnpitCNkEK,5:09a.m.,24,0.512,0.56,7,-7.973,1,0.0342,0.224,0.0245,0.212,0.34,143.901,170633,4,mem_4
0TxSk5fpK01cBLV9ePqcE6,She's In The Rain,64,0.36,0.533,3,-4.394,1,0.0302,0.375,0,0.0768,0.421,92.854,237577,4,mem_4
0WdR2AyLW1Drd3OUdwezM0,everytime,73,0.71,0.614,10,-6.757,0,0.0431,0.186,0,0.0974,0.658,148.152,172107,4,mem_4
0aVsVsOYDSEEigiwTrIab9,Let Me,73,0.46,0.566,9,-5.637,1,0.0516,0.239,5.93E-06,0.0967,0.19,168.419,185373,4,mem_4
0ltHy7lXsJTF2AlqXq0GFE,Home,35,0.6,0.606,0,-4.405,1,0.0279,0.00939,0,0.0813,0.601,80.027,352813,4,mem_4
0xO4wM6ZRx5OMOSv2RHoMk,Rescue Me,49,0.57,0.704,5,-3.488,0,0.0303,0.24,0,0.186,0.358,140.049,262000,4,mem_4
12zx31j5crxJQc5HUV5IyV,Bokurano Yume,23,0.496,0.759,10,-4.838,1,0.0369,0.298,0,0.105,0.623,174.071,274733,4,mem_4
13z89wLsfbHCarfyiSaNZV,Akashi,31,0.475,0.563,11,-5.301,1,0.0275,0.0766,0,0.152,0.343,82.029,320480,4,mem_4
17yTGt8knYEGkxKoh14VTP,Arigatou,44,0.527,0.744,0,-4.321,1,0.0294,0.0981,0,0.299,0.341,79.042,359813,4,mem_4
1LTla3bbMwueS9LdCSCvy6,Last Scene,48,0.535,0.646,2,-4.755,1,0.0273,0.207,0,0.299,0.394,80.094,361787,4,mem_4
1NBryvK85AodnQwIy8qPWc,Good Goodbye,37,0.278,0.218,9,-12.156,0,0.0312,0.952,0,0.109,0.204,83.961,229067,4,mem_4
1O7SIufNnjx6nTsXqXy46Q,A or B,19,0.569,0.638,7,-4.943,1,0.0333,0.0368,0.000227,0.137,0.583,169.973,316973,4,mem_4
1QdEludYnXLqM4gtlhhsks,Natsu No Owari,31,0.639,0.687,8,-6.275,1,0.0363,0.107,0,0.284,0.429,84.016,306160,4,mem_4
1VwOad23MsNZkmDyIyxEXe,Cherry Blossom Love Song,55,0.377,0.304,0,-7.674,1,0.0323,0.861,0,0.356,0.212,72.173,250456,4,mem_4
1YNQscOx6OqBQjxgJVhEeW,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",65,0.728,0.69,8,-4.344,0,0.0524,0.0164,0,0.104,0.415,94.028,221153,4,mem_4
1kP7A23BkpE21LtVXcM6Ex,Dream,32,0.592,0.582,8,-5.226,1,0.0253,0.0137,0,0.333,0.473,93.979,323960,4,mem_4
1kfEJ0w6qRZR9dIOWJGe0J,Whatcha Doin',52,0.553,0.889,2,-3.387,1,0.241,0.622,0,0.0851,0.742,99.329,209808,4,mem_4
1sFEBr033mKyoKtU3Tf1Eg,Song For Love Korean Version,34,0.538,0.712,2,-3.895,1,0.0304,0.287,0,0.264,0.142,135.887,235426,4,mem_4
21yTInWCVYgm92MMgsRgML,Namida Reset,27,0.517,0.666,0,-5.976,1,0.0308,0.0372,0,0.295,0.379,84.97,395490,4,mem_4
27a8YkCwNUHuD28rmYegHq,Boku Ga Shinou To Omottanowa,49,0.55,0.555,8,-7.9,1,0.0275,0.0644,2.61E-05,0.0964,0.383,167.871,380880,4,mem_4
2Adn2LNgkHMH5TelQVAu4n,Pretty Girl Rock,67,0.666,0.87,11,-5.004,0,0.246,0.203,0,0.0851,0.9,160.014,243920,4,mem_4
2b8fOow8UzyDFAE27YhOZM,Memories,99,0.764,0.32,11,-7.209,1,0.0546,0.837,0,0.0822,0.575,91.019,189486,4,mem_4
2eTKpQqQNohQ7X4Qp66gB9,Good Life,32,0.667,0.575,8,-6.544,1,0.0341,0.00539,0,0.0935,0.18,81.008,279547,4,mem_4
2f6uFYEhlcmm2Nu9F3JqzW,Rise,44,0.408,0.579,5,-4.909,1,0.0348,0.308,0,0.104,0.373,81.363,211582,4,mem_4
2pY99npaZKTVAyw2DhV9Bo,Forever My Lady,54,0.706,0.496,9,-15.138,0,0.0431,0.168,0,0.244,0.771,118.022,320360,4,mem_4
