id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,team_member_id
0Bz7dfqPY4JOGZO3O1j8Wh,Bulleya,0.552,0.769,2,-4.504,0,0.0465,0.497,0,0.112,0.702,86.957,audio_features,0Bz7dfqPY4JOGZO3O1j8Wh,spotify:track:0Bz7dfqPY4JOGZO3O1j8Wh,https://api.spotify.com/v1/tracks/0Bz7dfqPY4JOGZO3O1j8Wh,https://api.spotify.com/v1/audio-analysis/0Bz7dfqPY4JOGZO3O1j8Wh,348966,4,mem_4
1lsBTdE6MGsKeZCD6llNu7,Done for Me,0.856,0.632,6,-3.692,0,0.074,0.193,0,0.0688,0.697,112.009,audio_features,1lsBTdE6MGsKeZCD6llNu7,spotify:track:1lsBTdE6MGsKeZCD6llNu7,https://api.spotify.com/v1/tracks/1lsBTdE6MGsKeZCD6llNu7,https://api.spotify.com/v1/audio-analysis/1lsBTdE6MGsKeZCD6llNu7,180493,4,mem_4
2P91MQbaiQOfbiz9VqhqKQ,I Like Me Better,0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.104,0.419,91.97,audio_features,2P91MQbaiQOfbiz9VqhqKQ,spotify:track:2P91MQbaiQOfbiz9VqhqKQ,https://api.spotify.com/v1/tracks/2P91MQbaiQOfbiz9VqhqKQ,https://api.spotify.com/v1/audio-analysis/2P91MQbaiQOfbiz9VqhqKQ,197437,4,mem_4
7dZU2M1wzwOixYS6OoSMfO,Tu Hai,0.56,0.73,6,-4.516,0,0.0567,0.393,4.37e-05,0.0987,0.495,104.801,audio_features,7dZU2M1wzwOixYS6OoSMfO,spotify:track:7dZU2M1wzwOixYS6OoSMfO,https://api.spotify.com/v1/tracks/7dZU2M1wzwOixYS6OoSMfO,https://api.spotify.com/v1/audio-analysis/7dZU2M1wzwOixYS6OoSMfO,209258,4,mem_4
2zZTXtLqCsICzEcztKjn47,"Tum Hi Ho Bandhu (From ""Cocktail"")",0.714,0.892,11,-5.342,0,0.0516,0.00145,0.000817,0.0462,0.899,134.997,audio_features,2zZTXtLqCsICzEcztKjn47,spotify:track:2zZTXtLqCsICzEcztKjn47,https://api.spotify.com/v1/tracks/2zZTXtLqCsICzEcztKjn47,https://api.spotify.com/v1/audio-analysis/2zZTXtLqCsICzEcztKjn47,282012,4,mem_4
3meosaLOJGuQ6OjxnYR7sI,Dhat Teri Ki,0.81,0.744,0,-6.929,0,0.0335,0.105,1.79e-06,0.0802,0.96,120.041,audio_features,3meosaLOJGuQ6OjxnYR7sI,spotify:track:3meosaLOJGuQ6OjxnYR7sI,https://api.spotify.com/v1/tracks/3meosaLOJGuQ6OjxnYR7sI,https://api.spotify.com/v1/audio-analysis/3meosaLOJGuQ6OjxnYR7sI,247093,4,mem_4
4TkknEEgy9mpbDtSA9ZrKV,"Ae Zindagi Gale Laga Le - Take, 1",0.494,0.712,2,-6.605,0,0.0346,0.195,0.00028,0.108,0.386,156.059,audio_features,4TkknEEgy9mpbDtSA9ZrKV,spotify:track:4TkknEEgy9mpbDtSA9ZrKV,https://api.spotify.com/v1/tracks/4TkknEEgy9mpbDtSA9ZrKV,https://api.spotify.com/v1/audio-analysis/4TkknEEgy9mpbDtSA9ZrKV,171119,4,mem_4
4lJNen4SMTIJMahALc3DcB,"Thunderclouds (feat. Sia, Diplo, and Labrinth)",0.69,0.714,7,-5.948,1,0.0338,0.0077,7.23e-05,0.191,0.489,112.009,audio_features,4lJNen4SMTIJMahALc3DcB,spotify:track:4lJNen4SMTIJMahALc3DcB,https://api.spotify.com/v1/tracks/4lJNen4SMTIJMahALc3DcB,https://api.spotify.com/v1/audio-analysis/4lJNen4SMTIJMahALc3DcB,187027,4,mem_4
6udC4b4jOSnHb9ItnXgKLR,Saibo,0.619,0.428,2,-7.867,1,0.0281,0.736,1.27e-05,0.136,0.542,90.056,audio_features,6udC4b4jOSnHb9ItnXgKLR,spotify:track:6udC4b4jOSnHb9ItnXgKLR,https://api.spotify.com/v1/tracks/6udC4b4jOSnHb9ItnXgKLR,https://api.spotify.com/v1/audio-analysis/6udC4b4jOSnHb9ItnXgKLR,195253,4,mem_4
7heMX7gyHP0mhTlNgd7Lxd,The Humma Song,0.721,0.65,0,-6.95,0,0.136,0.0115,0.000137,0.34,0.391,130.491,audio_features,7heMX7gyHP0mhTlNgd7Lxd,spotify:track:7heMX7gyHP0mhTlNgd7Lxd,https://api.spotify.com/v1/tracks/7heMX7gyHP0mhTlNgd7Lxd,https://api.spotify.com/v1/audio-analysis/7heMX7gyHP0mhTlNgd7Lxd,179658,5,mem_4
