id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,team_member_id
0bzbvANY6oETSJLc0wlVGY,Lover,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,audio_features,0bzbvANY6oETSJLc0wlVGY,spotify:track:0bzbvANY6oETSJLc0wlVGY,https://api.spotify.com/v1/tracks/0bzbvANY6oETSJLc0wlVGY,https://api.spotify.com/v1/audio-analysis/0bzbvANY6oETSJLc0wlVGY,221307,4,mem_3
4gjFNGQ0BodNqiOAOAOMSW,Raat Ka Nasha,0.59,0.596,5,-7.932,0,0.037,0.548,5.16e-06,0.463,0.692,83.113,audio_features,4gjFNGQ0BodNqiOAOAOMSW,spotify:track:4gjFNGQ0BodNqiOAOAOMSW,https://api.spotify.com/v1/tracks/4gjFNGQ0BodNqiOAOAOMSW,https://api.spotify.com/v1/audio-analysis/4gjFNGQ0BodNqiOAOAOMSW,313613,4,mem_3
5NjVCNaYDFM0gCT1hES4dr,Haunt You,0.658,0.458,0,-8.738,1,0.0785,0.371,0,0.0958,0.29,91.914,audio_features,5NjVCNaYDFM0gCT1hES4dr,spotify:track:5NjVCNaYDFM0gCT1hES4dr,https://api.spotify.com/v1/tracks/5NjVCNaYDFM0gCT1hES4dr,https://api.spotify.com/v1/audio-analysis/5NjVCNaYDFM0gCT1hES4dr,198267,4,mem_3
7DDcNAaRQm1cyDeJ4yLafO,Reflecting Light,0.475,0.229,8,-13.643,0,0.0289,0.84,0.0145,0.106,0.107,106.755,audio_features,7DDcNAaRQm1cyDeJ4yLafO,spotify:track:7DDcNAaRQm1cyDeJ4yLafO,https://api.spotify.com/v1/tracks/7DDcNAaRQm1cyDeJ4yLafO,https://api.spotify.com/v1/audio-analysis/7DDcNAaRQm1cyDeJ4yLafO,197067,3,mem_3
1SymEzIT3H8UZfibCs3TYi,Afterglow,0.756,0.449,9,-8.746,1,0.0344,0.13,0,0.114,0.399,111.011,audio_features,1SymEzIT3H8UZfibCs3TYi,spotify:track:1SymEzIT3H8UZfibCs3TYi,https://api.spotify.com/v1/tracks/1SymEzIT3H8UZfibCs3TYi,https://api.spotify.com/v1/audio-analysis/1SymEzIT3H8UZfibCs3TYi,223293,4,mem_3
5r8mGKhCDIVWb3AG4hm0l0,PIENSO EN TU MIRÁ - Cap.3: Celos,0.647,0.676,8,-6.025,1,0.0862,0.0909,0.0227,0.0947,0.41,164.51,audio_features,5r8mGKhCDIVWb3AG4hm0l0,spotify:track:5r8mGKhCDIVWb3AG4hm0l0,https://api.spotify.com/v1/tracks/5r8mGKhCDIVWb3AG4hm0l0,https://api.spotify.com/v1/audio-analysis/5r8mGKhCDIVWb3AG4hm0l0,193767,3,mem_3
0juMU08O9byWiRBtKM1j5E,Circle of Life/Nants' Ingonyama,0.297,0.518,10,-8.152,1,0.0378,0.412,1.1e-05,0.298,0.496,81.425,audio_features,0juMU08O9byWiRBtKM1j5E,spotify:track:0juMU08O9byWiRBtKM1j5E,https://api.spotify.com/v1/tracks/0juMU08O9byWiRBtKM1j5E,https://api.spotify.com/v1/audio-analysis/0juMU08O9byWiRBtKM1j5E,241800,4,mem_3
0juMU08O9byWiRBtKM1j5E,Circle of Life/Nants' Ingonyama,0.297,0.518,10,-8.152,1,0.0378,0.412,1.1e-05,0.298,0.496,81.425,audio_features,0juMU08O9byWiRBtKM1j5E,spotify:track:0juMU08O9byWiRBtKM1j5E,https://api.spotify.com/v1/tracks/0juMU08O9byWiRBtKM1j5E,https://api.spotify.com/v1/audio-analysis/0juMU08O9byWiRBtKM1j5E,241800,4,mem_3
1ocYa8PoVd5e2vPn0xHJcA,Saiyaara,0.659,0.665,8,-8.181,0,0.0266,0.456,0.000486,0.0898,0.692,93.012,audio_features,1ocYa8PoVd5e2vPn0xHJcA,spotify:track:1ocYa8PoVd5e2vPn0xHJcA,https://api.spotify.com/v1/tracks/1ocYa8PoVd5e2vPn0xHJcA,https://api.spotify.com/v1/audio-analysis/1ocYa8PoVd5e2vPn0xHJcA,252160,4,mem_3
3vv9phIu6Y1vX3jcqaGz5Z,Roses,0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001,audio_features,3vv9phIu6Y1vX3jcqaGz5Z,spotify:track:3vv9phIu6Y1vX3jcqaGz5Z,https://api.spotify.com/v1/tracks/3vv9phIu6Y1vX3jcqaGz5Z,https://api.spotify.com/v1/audio-analysis/3vv9phIu6Y1vX3jcqaGz5Z,226739,4,mem_3
64OFkMJL7qpbtVXlNQ63nS,How My Heart Behaves,0.549,0.345,0,-11.042,1,0.0294,0.822,0.0136,0.112,0.162,115.079,audio_features,64OFkMJL7qpbtVXlNQ63nS,spotify:track:64OFkMJL7qpbtVXlNQ63nS,https://api.spotify.com/v1/tracks/64OFkMJL7qpbtVXlNQ63nS,https://api.spotify.com/v1/audio-analysis/64OFkMJL7qpbtVXlNQ63nS,266613,4,mem_3
