name,popularity,danceability,energy,valence,tempo,team_member_id
M.E.,54,0.466,0.901,0.428,172.065,mem_2
Free All The Opps,41,0.433,0.637,0.21,109.924,mem_2
Don't Give Up,41,0.872,0.59,0.52,84.039,mem_2
Deep In My Heart,29,0.504,0.886,0.562,93.96,mem_2
Lily Love,38,0.3,0.944,0.386,180.008,mem_2
Momma Told Me,51,0.583,0.555,0.112,95.016,mem_2
Be with You (DJ Shimamura's Hardcore VIP),9,0.572,0.79,0.416,79.87,mem_2
More,50,0.536,0.907,0.499,169.985,mem_2
Psycho On The Loose,42,0.714,0.805,0.359,96.983,mem_2
In This Place,63,0.76,0.893,0.406,161.05,mem_2
P.A.T. FEAT. PLAYTHATBOIZAY,58,0.405,0.62,0.48,195.881,mem_2
Black Balloons Reprise,46,0.598,0.723,0.379,160.062,mem_2
Numb Numb Juice,74,0.658,0.722,0.152,88.028,mem_2
Charcoal Baby,67,0.885,0.492,0.203,156.958,mem_2
Six Speed,56,0.622,0.46,0.514,183.241,mem_2
Alley Oop,70,0.815,0.946,0.864,175.014,mem_2
Cyanide,57,0.857,0.503,0.867,122.036,mem_2
Approaching Pavonis Mons by Balloon (Utopia Planitia),38,0.675,0.92,0.112,154.939,mem_2
Lilly,53,0.418,0.729,0.279,166.454,mem_2
All My Friends,67,0.47,0.652,0.524,139.975,mem_2
94 Bentley,64,0.669,0.757,0.708,106.018,mem_2
Wait a Minute!,79,0.696,0.558,0.217,113,mem_2
C7osure (You Like),73,0.757,0.707,0.638,100.982,mem_2
NEW MAGIC WAND,72,0.847,0.742,0.56,133.989,mem_2
Found A Good One (Single No More),61,0.621,0.73,0.464,139.566,mem_2
Wishes,49,0.78,0.63,0.607,126.066,mem_2
Feel It All Around,65,0.244,0.721,0.114,98.825,mem_2
I'll Be Alright,47,0.34,0.737,0.499,172.022,mem_2
I Hope Time Doesn't Change Him,33,0.52,0.873,0.52,140.027,mem_2
The London (feat. J. Cole & Travis Scott),89,0.572,0.637,0.151,102.966,mem_2
No Favors,32,0.796,0.586,0.179,97.981,mem_2
Ordinary Pleasure,58,0.61,0.848,0.244,116.991,mem_2
Mister Impossible,56,0.878,0.779,0.778,115.009,mem_2
Love Is Greed,37,0.613,0.85,0.568,91.985,mem_2
It All Feels Right,54,0.541,0.77,0.24,101.066,mem_2
ZUU,64,0.316,0.748,0.256,79.337,mem_2
Leaf House,45,0.678,0.509,0.351,141.037,mem_2
Evil,65,0.544,0.791,0.351,133.742,mem_2
New Beat,49,0.747,0.673,0.846,115.05,mem_2
Se�orita,97,0.759,0.54,0.75,116.947,mem_3
Attention,83,0.775,0.613,0.797,100.066,mem_3
We Don't Talk Anymore,72,0.728,0.563,0.352,100.017,mem_3
Tere Liye,41,0.695,0.351,0.113,124.001,mem_3
Bang Bang,58,0.703,0.678,0.694,120.051,mem_3
"Another Brick in the Wall, Pt. 2",78,0.694,0.394,0.719,104.126,mem_3
Naina Banjare,26,0.585,0.62,0.302,76.967,mem_3
"Bandook Meri Laila (feat. Raftaar, Sidharth Malhotra)",50,0.746,0.782,0.665,98.976,mem_3
How Long,76,0.845,0.561,0.811,109.974,mem_3
Garaj Baras (Live),28,0.491,0.87,0.326,121.888,mem_3
Yeh Rishta,9,0.357,0.642,0.442,84.258,mem_3
Vaseegara,48,0.694,0.293,0.637,143.804,mem_3
Haareya - Ayushmann Khurrana Rock Version,31,0.638,0.558,0.413,123.922,mem_3
Manchala,47,0.365,0.649,0.453,78.398,mem_3
Treat You Better,85,0.444,0.819,0.747,82.695,mem_3
Dangerously,60,0.696,0.517,0.23,112.291,mem_3
The Greatest,76,0.668,0.725,0.729,191.944,mem_3
"Hungama Ho Gaya (From ""Queen"")",39,0.624,0.847,0.507,138.059,mem_3
Stairway to Heaven - Remaster,79,0.338,0.34,0.197,82.433,mem_3
Meherbaan,50,0.591,0.531,0.478,80.971,mem_3
Yaariyaan,36,0.485,0.546,0.406,149.938,mem_3
Kurbaan Hua,42,0.54,0.718,0.526,166.003,mem_3
"Yaaram (From ""Ek Thi Daayan"")",27,0.639,0.645,0.336,140.025,mem_3
I Knew You Were Trouble.,63,0.596,0.473,0.648,154.228,mem_3
Shaam Shaandaar,39,0.656,0.774,0.636,133.995,mem_3
"Gustakh Dil (From ""English Vinglish)",28,0.518,0.363,0.0785,80.045,mem_3
Sucker,81,0.842,0.734,0.952,137.958,mem_3
"Love Me Like You Do - From ""Fifty Shades Of Grey""",68,0.262,0.606,0.275,189.857,mem_3
Mental Manadhil,50,0.568,0.886,0.846,160.054,mem_3
Kabhie Phool Dena (Pyar Ke Naam) - Rules - Pyar Ka Super Hit Formula / Soundtrack Version,24,0.674,0.558,0.709,137.89,mem_3
Chogada,56,0.359,0.972,0.595,62.914,mem_3
Laaree Chootee,36,0.567,0.758,0.583,92.99,mem_3
I Hate Luv Storys,47,0.747,0.81,0.937,130.012,mem_3
